Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
2.5,0.337461,5.0241,-1.11184,0.989785
2.6,0.285048,3.44383,-1.02866,0.726123
2.7,0.254966,3.0451,-0.971991,0.675007
2.8,0.214772,2.07995,-0.909019,0.50519
2.9,0.193764,1.67609,-0.862891,0.450431
3,0.170859,1.33608,-0.817447,0.38883
3.1,0.155459,1.00915,-0.777341,0.344142
3.2,0.139192,0.910948,-0.744731,0.338701
3.3,0.13702,0.818749,-0.716031,0.296045
3.4,0.133091,0.735169,-0.684178,0.268453
