Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
2,0.912212,0.330813,-1.74628,0.697251
2.025,0.902723,0.417886,-1.72581,0.765316
2.05,0.893929,0.501037,-1.7078,0.819213
2.075,0.883594,0.646581,-1.68698,0.866432
2.1,0.866299,1.12899,-1.65995,1.01279
2.125,0.850721,1.20011,-1.63551,1.02393
2.15,0.832221,2.0153,-1.60781,1.20055
2.175,0.806991,2.74283,-1.57461,1.32042
2.2,0.793245,2.72078,-1.54982,1.36817
2.225,0.738459,8.52126,-1.50479,1.73772
2.25,0.73489,4.3873,-1.4795,1.52989
2.275,0.652573,13.8186,-1.42962,1.74324
2.3,0.599029,14.8878,-1.38293,1.83546
2.325,0.522806,18.4291,-1.33866,1.6308
2.35,0.436677,20.7588,-1.28881,1.84142
2.375,0.349372,17.9751,-1.2444,1.39545
2.4,0.372561,16.6054,-1.22539,1.36498
2.425,0.253469,13.8849,-1.17662,1.16373
2.45,0.241667,9.6447,-1.15059,0.944522
2.475,0.217031,9.05876,-1.12741,0.952674
2.5,0.193073,7.55634,-1.10734,0.850954
