Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
2.5,0.0922392,7.56907,-1.10507,0.817228
2.6,0.0756878,5.13935,-1.02851,0.705164
2.7,0.06034,3.21558,-0.963635,0.609039
2.8,0.0532201,2.35123,-0.907392,0.520694
2.9,0.0474369,1.87066,-0.860407,0.463269
3,0.0420726,1.40331,-0.817464,0.404256
3.1,0.0384697,1.09999,-0.778558,0.354835
3.2,0.0363103,0.960207,-0.744935,0.319478
3.3,0.0339458,0.832853,-0.715001,0.29732
3.4,0.0323832,0.707069,-0.685569,0.265404
