Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
1,0.999202,0.00167117,-1.99687,0.025015
1.1,0.998584,0.00281771,-1.99447,0.0375706
1.2,0.99713,0.00577627,-1.98903,0.0656804
1.3,0.994839,0.0102429,-1.98055,0.100531
1.4,0.991622,0.0154102,-1.96888,0.135106
1.5,0.98628,0.0282454,-1.95022,0.202602
1.6,0.979428,0.043022,-1.92755,0.261693
1.7,0.970342,0.0633921,-1.89842,0.33673
1.8,0.957277,0.126384,-1.86071,0.472081
1.9,0.937686,0.186431,-1.80816,0.563723
