Temp,Mean Absolute Magnetization,Susceptibility,Mean Energy / Spin,Specific Heat
2.5,0.189761,8.47312,-1.10708,0.94119
2.6,0.153496,4.73218,-1.02736,0.712047
2.7,0.123669,3.23792,-0.963876,0.596668
2.8,0.102831,2.07576,-0.907036,0.512139
2.9,0.0895684,1.58082,-0.8592,0.437534
3,0.086425,1.35687,-0.818037,0.405098
3.1,0.0801502,1.14943,-0.780852,0.35658
3.2,0.0728385,1.01434,-0.745058,0.316882
3.3,0.0679334,0.83412,-0.713186,0.292307
3.4,0.0634703,0.688897,-0.68652,0.268978
